Word,Part_of_Speech,Audio,Photos
to build,verb,,construction-workers-craftsmen-build.png
to burn,verb,,fire-burning-house-flame.jpg
to buy,verb,,"woman-holding-card-while-operating-silver-laptop.jpg, assorted-business-desserts-display.jpg"
to call,verb,,smiling-woman-holding-gold-iphone.jpg
to carry,verb,,deliver-men-carrying-boxes-cartoon.png
to catch,verb,,"football-catch-players.jpg, fisherman-caught-fish-fishing.png"
to clean,verb,,"bucket-cleaning-rags.jpg, bucket-cleaning-supplies-housework.png"
to close,verb,,door-handle-ball.jpg
to count,verb,,learn-school-nursery-count.jpg
to cry,verb,,sad-cry-tear-emotion-mood-face.jpg
to cut,verb,,scissors-cutting-cut.png
vegetable,noun,,vegetable-basket.jpg
to dance,verb,,couple-dance-dancer-dancing.png
to die,verb,,"beyond-death-faith.jpg, scythe-death-skeleton.jpg"
to dig,verb,,shovel-trowel-digging.png
to draw,verb,,kids-girl-pencil-drawing.jpg
to drink,verb,,drinking-water-woman-bottle.png
to drive,verb,,old-man-drive-vintage-car.png
to eat,verb,,cuisine-food-italian-antipasti.jpg
to explode,verb,,explosion.png
to fall,verb,,fall-falling.png
to feed,verb,,"kid-feeding-antelope.jpg, baby-eating-firsts-food.jpg"
to fight,verb,,fighting-arguing.jpg
to find,verb,,needle-in-a-haystack.jpg
to fly,verb,,geese-birds-flock-wildlife-flying.jpg
to follow ,verb,,couple-in-love-stand-hand-hand.jpg
to grow,verb,,sapling-plant-growing.png
to hang ,verb,,laundry-clothes-drying.jpg
to hear,verb,,close-up-communication-deaf-ear.jpg
to hit,verb,,anger-fight-male.png
to jump,verb,,fitness-jump.jpg
to kill,verb,,killing-someone.jpg
to kiss,verb,,sunset-kiss-couple.jpg
to laugh,verb,,man-laughing.jpg
to lie down,verb,,man-lying-floor.jpg
to lift,verb,,weightlifting-clean-jerk.png
to listen,verb,,headphones-listen.png
to live,verb,,girl-freedom-happy-sun.jpg
to love,verb,,love-heart-kiss-hearts-kissing.jpg
to marry,verb,,marriage-wedding-bride-groom.jpg
to melt,verb,,ice-cube-melting.png
to open,verb,,open-door.png
